event_name,user_pseudo_id,item_id,item_name
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,11371,Nasi Kuning Ayam Geprek
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,2353,Chow Mien
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,12186,Nasi Iga Bakar Madu
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,12190,Nasi Dendeng Balado Sapi
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,11117,Plant Based Rica-Rica
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,12186,Nasi Iga Bakar Madu
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,12186,Nasi Iga Bakar Madu
select_item,1019587C413A41F694EC9C17A2E0335D,177,Wingsking Chicken
select_item,1019587C413A41F694EC9C17A2E0335D,13245,Nasi Dori Sambal Matah
add_to_cart,1019587C413A41F694EC9C17A2E0335D,13245,Nasi Dori Sambal Matah
select_item,126F3B49A26440BEAF3C8F413DEC323A,1495,Lauk Spesial Nutripack 4 Porsi
select_item,126F3B49A26440BEAF3C8F413DEC323A,356,Tastylicious Rantangan (3-4 pax) - Lunch
select_item,126F3B49A26440BEAF3C8F413DEC323A,5424,Dori Asam Manis dan Capcay Goreng
select_item,126F3B49A26440BEAF3C8F413DEC323A,1,Basic Lunch
select_item,126F3B49A26440BEAF3C8F413DEC323A,18,Deluxe Lunch
select_item,126F3B49A26440BEAF3C8F413DEC323A,5424,Dori Asam Manis dan Capcay Goreng
add_to_cart,126F3B49A26440BEAF3C8F413DEC323A,5424,Dori Asam Manis dan Capcay Goreng
select_item,126F3B49A26440BEAF3C8F413DEC323A,1,Basic Lunch
select_item,126F3B49A26440BEAF3C8F413DEC323A,356,Tastylicious Rantangan (3-4 pax) - Lunch
select_item,14491FC70F574938B22D0082883A1C24,247,Capcay Ayam
select_item,14491FC70F574938B22D0082883A1C24,5463,Ayam Fillet Goreng Saus Steak Mini
select_item,14491FC70F574938B22D0082883A1C24,1750,Ayam Fillet Goreng dan Saus Steak
select_item,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
